record_id,print_edition,size,frame,sold,distributor,action,decision,reason
receYSMCUUusHkrMs,NoMansFort  - 71,Small,Tube only,checked,Seaview Gallery,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
rectMbK8zvNm9eksj,NoMansFort  - 71,Large,Framed,checked,Perera,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recS54mPouNhRHLbC,NoMansFort  - 75,Large,Framed,checked,Perera,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
rec9hgnf4uAMOQTGB,NoMansFort  - 75,Small,Framed,checked,Direct,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recvLtb5spCEHbu1k,NoMansFort  - 89,Small,Mounted,checked,Direct,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recCPC1hOLyi9ebhI,NoMansFort  - 89,Large,Framed,checked,Seaview Gallery,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recgWUlvWsFFyj2pW,NoMansFort  - 97,Small,Framed,checked,Seaview Gallery,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recGA2PBuJmBGC25p,NoMansFort  - 97,Large,Framed,checked,Perera,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recPreshq55bKPhrW,Osborne - 29,Small,Framed,checked,Direct,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
rec7THCCV81tzbypc,Osborne - 29,Large,Mounted,checked,Direct,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recaSej5s5gOl1D5J,Osborne - 70,Large,Framed,checked,Direct,KEEP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recGLUA10HguEExKA,Osborne - 70,Large,Framed,checked,Direct,SKIP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recw65FOjhz2CibPN,PUFFIN - 44,,,,,KEEP,KEEP_FIRST,"Exact duplicates, keeping first entry"
recDjhQlSd5FO1Aew,PUFFIN - 44,,,,,SKIP,KEEP_FIRST,"Exact duplicates, keeping first entry"
recqU0ToGbPKhUWws,"Priory, SEAGV2L - 16",Large,Mounted,checked,Seaview Gallery,KEEP,KEEP_SOLD,Only one marked as sold
recGrLTWXggzHG5xz,"Priory, SEAGV2L - 16",,,,,SKIP,KEEP_SOLD,Only one marked as sold
recoWUYPDhIfSX7lm,"Priory, SEAGV2L - 17",Large,Framed,checked,Seaview Gallery,KEEP,KEEP_SOLD,Only one marked as sold
recQfcwecUGisMkxZ,"Priory, SEAGV2L - 17",,,,,SKIP,KEEP_SOLD,Only one marked as sold
recP8ohFwTPBrw9lp,"Priory, SEAGV2L - 19",Large,Framed,,Seaview Gallery,SKIP,KEEP_SOLD,Only one marked as sold
recuLGXp4dVs05Uie,"Priory, SEAGV2L - 19",Extra Large,Tube only,checked,Direct,KEEP,KEEP_SOLD,Only one marked as sold
rec1krbBCzcPoRBo7,"Priory, SEAGV2L - 20",Large,Framed,,Seaview Gallery,KEEP,KEEP_FIRST,"Different sizes (Large), keeping first entry"
recMxBnznmYFtL2P0,"Priory, SEAGV2L - 20",,,,,SKIP,KEEP_FIRST,"Different sizes (Large), keeping first entry"
reco5QilzdKrw1uN7,"Priory, SEAGV2L - 169",,,,,KEEP,KEEP_FIRST,"Exact duplicates, keeping first entry"
recHCsQWjNajcNCTb,"Priory, SEAGV2L - 169",,,,,SKIP,KEEP_FIRST,"Exact duplicates, keeping first entry"
rec6Vgu6NUo3Mymyc,"Priory, SEAGV2L - 173",Large,Framed,checked,Seaview Gallery,KEEP,KEEP_SOLD,Only one marked as sold
recpZD0XHnx4j8CW9,"Priory, SEAGV2L - 173",,,,,SKIP,KEEP_SOLD,Only one marked as sold
